"emp_no","birth_date","first_name","last_name","gender","hire_date","emp_no","salary","from_date","to_date"
10019,"1953-01-23",Lillian,Haddadi,M,"1999-04-30",10019,44276,"1999-04-30","2000-04-29"
10019,"1953-01-23",Lillian,Haddadi,M,"1999-04-30",10019,46946,"2000-04-29","2001-04-29"
10019,"1953-01-23",Lillian,Haddadi,M,"1999-04-30",10019,46775,"2001-04-29","2002-04-29"
10019,"1953-01-23",Lillian,Haddadi,M,"1999-04-30",10019,50032,"2002-04-29","9999-01-01"
10105,"1962-02-05",Hironoby,Piveteau,M,"1999-03-23",10105,59258,"1999-05-17","2000-05-16"
10105,"1962-02-05",Hironoby,Piveteau,M,"1999-03-23",10105,61514,"2000-05-16","2001-05-16"
10105,"1962-02-05",Hironoby,Piveteau,M,"1999-03-23",10105,61172,"2001-05-16","2001-06-11"
10298,"1954-07-06",Dietrich,DuCasse,F,"1999-03-30",10298,40000,"1999-04-27","2000-04-26"
10298,"1954-07-06",Dietrich,DuCasse,F,"1999-03-30",10298,39994,"2000-04-26","2001-04-26"
10298,"1954-07-06",Dietrich,DuCasse,F,"1999-03-30",10298,43705,"2001-04-26","2002-04-26"
10298,"1954-07-06",Dietrich,DuCasse,F,"1999-03-30",10298,43923,"2002-04-26","9999-01-01"
10684,"1956-01-23",Aimee,Tokunaga,F,"1999-10-28",10684,45861,"1999-10-28","2000-10-27"
10684,"1956-01-23",Aimee,Tokunaga,F,"1999-10-28",10684,46564,"2000-10-27","2001-10-27"
10684,"1956-01-23",Aimee,Tokunaga,F,"1999-10-28",10684,47683,"2001-10-27","9999-01-01"
11315,"1955-04-21",Neven,Meriste,M,"1999-07-17",11315,84316,"2000-01-18","2001-01-17"
11315,"1955-04-21",Neven,Meriste,M,"1999-07-17",11315,84450,"2001-01-17","2002-01-17"
11315,"1955-04-21",Neven,Meriste,M,"1999-07-17",11315,85452,"2002-01-17","2002-01-17"
11325,"1952-02-06",Samphel,Rossi,F,"1999-01-10",11325,62458,"1999-01-10","2000-01-10"
11325,"1952-02-06",Samphel,Rossi,F,"1999-01-10",11325,65329,"2000-01-10","2001-01-09"
11325,"1952-02-06",Samphel,Rossi,F,"1999-01-10",11325,67036,"2001-01-09","2002-01-09"
